UNIQUE CODE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022),WINNING COALITION,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,state,code_state,area_km2,population_total,nationality_citizen,nationality_non_citizen,sex_male,sex_female,housing_total,household_total,household_size_avg,live_births,live_births_male,live_births_female,deaths,deaths_male,deaths_female,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,sme_small,sme_micro,sme_medium,businesses_agriculture,businesses_crops,businesses_livestock,businesses_fisheries,businesses_forestry,businesses_mining,businesses_manufacturing,businesses_construction,businesses_services,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none,income_mean,expenditure_mean,poverty_rate,Loosemore-Hanby Index,Gallagher Index,Gallagher Index (n),Gallagher Index (%),Polsby-Popper Index,Parliament Area,Parliament Perimeter,Convex-Hull,Compactness,Convex Hull,Compactness Index,Reock Index,Convex Hull Index
P.021,P.021,KOTA BHARU,115450,84.33,13.75,0.76,0.06,0.06,0,1.04,99.24,0.02,0.74,0,5.45,20.86,23.96,16.79,13.82,11.33,5.74,1.62,0.43,49.34,50.66,URBAN,PN,PAS,NA,115450,22613,NA,NA,NA,721,78019,UMNO,HJ. ROSMADI ISMAIL,MALE,NA,16168,PAN,DR HAFIDZAH,FEMALE,NA,19256,PAS,DATUK SERI TAKIYUDDIN,MALE,60,41869,PUTRA,PROF. DATO DR CHE MUSA CHE OMAR,MALE,NA,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,33,130801,127817,2984,62970,67831,34676,28823,4.3,2752,1498,1254,835,499,336,60.3,5.7,4122,5201,3569,0.346,7.4,90,1350,9958,348,121,37,17,173,147,572,737,9742,71.6,0,28.4,100,0,5201,3569,7.4,0.380483143,20073.25225,20073.25225,21.04627462,0.040589279,0.002722089,0.258967628,0.003339083,0.010511309,0.003339083,0.010511309,4.75E-05,0.81522042
P.022,P.022,PASIR MAS,94544,97.29,1.96,0.06,0.05,0.02,0,0.62,99.87,0,0.13,0,6.53,22.73,23.45,16.89,13.37,9.75,5.04,1.71,0.53,49.45,50.55,SEMI URBAN,PN,PAS,NA,94544,30717,NA,NA,NA,819,65153,UMNO,DATO GHANI,MALE,NA,13727,PKR,DATUK HUSAM,MALE,63,6439,PAS,USTAZ FADHLI SHAARI,MALE,42,44444,PUTRA,NASRUL ALI HASAN,MALE,NA,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,176,113476,112738,738,57377,56099,25378,22741,5,2223,1131,1092,670,377,293,53.9,4.6,3951,5617,3612,0.401,10,3,202,3233,33,15,9,2,7,15,198,163,3043,77,0.4,22.6,100,0,5617,3612,10,0.31158422,-832.7477477,-832.7477477,-0.873114011,0.038884704,0.014363679,0.607775868,0.016139468,0.023633184,0.016139468,0.023633184,0.001266864,0.889972273
P.023,P.023,RANTAU PANJANG,93248,96.65,1.95,0.07,0.06,0.05,0,1.22,99.56,0.02,0.38,0.04,7.04,23.44,22.95,16.32,13.55,9.81,4.75,1.6,0.54,50.33,49.67,SEMI URBAN,PN,PAS,NA,93248,20636,NA,NA,NA,668,60527,UMNO,PROF UST ZUL,MALE,NA,17123,PAN,DR SHAH,MALE,NA,4256,PAS,KAK LAH,FEMALE,59,37759,PUTRA,DATO' DR. IBRAHIM ALI,MALE,NA,1216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,392,116948,115160,1788,59379,57569,29546,22387,5.2,2336,1181,1155,702,393,309,54.2,5,3001,3864,2715,0.324,16.2,1,148,3247,56,35,7,0,14,10,142,90,3109,66.8,0,33.2,100,0,3864,2715,16.2,0.307313054,-2128.747748,-2128.747748,-2.231935768,0.036259517,0.032016177,0.939666472,0.037844371,0.034071853,0.037844371,0.034071853,0.005869224,0.845995756
P.024,P.024,KUBANG KERIAN,113640,97.34,2,0.16,0.04,0.04,0,0.41,99.9,0.01,0.09,0,7.54,25.42,24.78,15.75,12.22,8.67,4.23,1.11,0.27,49.14,50.86,SEMI URBAN,PN,PAS,NA,113640,40847,NA,NA,NA,775,81384,UMNO,KAK LONG,FEMALE,37,14807,PAN,DR.WAN AHMAD KAMIL,MALE,NA,10236,PAS,USTAZ DATO' TUAN IBRAHIM,MALE,62,55654,PEJUANG,RIZAL,MALE,NA,687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,141,156627,153437,3190,78050,78577,37208,32517,4.7,3221,1696,1525,973,565,408,60.9,5.2,4415,6219,4033,0.429,10.1,22,353,4661,76,38,21,2,15,23,291,273,4405,56,0,44,100,0,6219,4033,10.1,0.374518011,18263.25225,18263.25225,19.14853744,0.027922734,0.01152044,0.642326086,0.015865101,0.0179355,0.015865101,0.0179355,5.85E-04,0.726149775
P.025,P.025,BACHOK,123183,98.26,1.08,0.04,0.05,0.04,0.01,0.52,99.79,0.01,0.2,0,7.42,24.14,24.92,16.92,12.65,8.53,4.15,1.05,0.22,49.08,50.92,SEMI URBAN,PN,PAS,NA,123183,29901,NA,NA,NA,1539,89417,UMNO,DATUK HAJI ZAIN,MALE,NA,27229,PKR,NOR AZMIZA MAMAT,FEMALE,38,4366,PAS,SYAHIR SULAIMAN,MALE,39,57130,PUTRA,CIKGU ZAM,MALE,NA,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,279,157291,156130,1161,76212,81079,37058,31358,4.9,3169,1677,1492,958,558,400,54.4,3.6,3621,4728,2742,0.361,13.1,9,150,3696,49,20,19,6,4,11,168,145,3491,42.3,0,57.7,100,0,4728,2742,13.1,0.405968428,27806.25225,27806.25225,29.1541208,0.024345717,0.022794213,0.967611489,0.030535678,0.023557195,0.030535678,0.023557195,0.001997522,0.746478019
P.026,P.026,KETEREH,85281,96.6,1.91,0.08,0.25,0.51,0.01,0.65,96.41,0.01,0.06,3.53,6.95,23.98,24.99,16.96,12.93,8.84,4.06,1.08,0.21,50.07,49.93,SEMI URBAN,PN,PPBM,NA,85281,23107,NA,NA,NA,900,62862,UMNO,MARZUANI ARDILA ARIFFIN (GEE),FEMALE,39,17435,PKR,HAJI RAHIMI,MALE,53,4662,PPBM,MEJ JEN DATO HJ KHLIR (B),MALE,64,40542,PUTRA,HANEEF IBRAHIM (ABE HANEEF),MALE,NA,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,141,108448,106888,1560,56587,51861,27743,21908,4.8,2179,1079,1100,654,359,295,60.9,5.2,4028,5618,3710,0.396,11.2,3,144,2708,41,26,8,2,5,2,150,105,2572,48.6,0,51.4,100,0,5618,3710,11.2,0.281056586,-10095.74775,-10095.74775,-10.58512477,0.030318146,0.011505653,0.616033496,0.013965062,0.018676993,0.013965062,0.018676993,6.34E-04,0.823888435
P.027,P.027,TANAH MERAH,98782,94.32,4.11,0.49,0.06,0.05,0,0.97,99.71,0.01,0.28,0,6.85,23.47,24.66,17.41,12.86,9.57,3.97,1.03,0.19,49.33,50.67,SEMI URBAN,PN,PPBM,NA,98782,44485,NA,NA,NA,624,69686,UMNO,CIKGU BAKRI,MALE,NA,9781,PKR,DATO' D,MALE,62,5357,PPBM,DATO' SRI IKMAL HISHAM,MALE,57,54266,PUTRA,LAWYER NASIR ABDULLAH,MALE,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,687,126470,122862,3608,65128,61342,29178,25316,5,2521,1262,1259,757,420,337,58.4,2.8,3311,4487,2984,0.339,10.6,25,247,3485,82,42,13,5,22,8,168,134,3398,77.3,2,20.8,100,0,4487,2984,10.6,0.325551198,3405.252252,3405.252252,3.570317014,0.02761955,0.056079281,1.424927984,0.073094004,0.03935587,0.073094004,0.03935587,0.013716433,0.76722135
P.028,P.028,PASIR PUTEH,113070,98.04,0.89,0.04,0.05,0.04,0,0.94,99.76,0.01,0.23,0,7.22,23.88,24.06,16.71,13.27,8.94,4.42,1.24,0.26,48.6,51.4,SEMI URBAN,PN,PAS,NA,113070,29109,NA,NA,NA,1013,80978,UMNO,DATUK CIKGU AWI,MALE,NA,23828,PAN,USTAZ MUHAMMAD HUSAIN,MALE,NA,3864,PAS,USTAZ NIK ZAWAWI,MALE,55,52937,PEJUANG,KAPTEN WAN MARZUDI,MALE,NA,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,423,135823,134962,861,67277,68546,33332,26380,5.1,2757,1441,1316,832,480,352,56.6,3.2,3458,4688,3105,0.386,12.7,11,214,3561,68,42,9,9,8,6,177,115,3430,65.8,0.2,34,100,0,4688,3105,12.7,0.372639489,17693.25225,17693.25225,18.5509075,0.034804477,0.034508942,0.995745303,0.040031009,0.034656395,0.040031009,0.034656395,0.006545128,0.862055262
P.029,P.029,MACHANG,88825,96.34,3.09,0.16,0.05,0.06,0,0.29,99.69,0.01,0.29,0.01,6.57,23.05,24.21,16.85,13.64,9.68,4.44,1.29,0.27,49.3,50.7,SEMI URBAN,PN,PPBM,NA,88825,10154,NA,NA,NA,733,65114,UMNO,DATUK JAZLAN,MALE,58,25449,PKR,DR ROSLI,MALE,47,3934,PPBM,WAN AHMAD FAYHSAL,MALE,35,35603,PUTRA,MEJAR (B) MAT,MALE,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,528,110545,109509,1036,54942,55603,26072,22069,4.9,2337,1216,1121,706,405,301,59.4,5.3,3708,4841,3056,0.352,7.1,8,178,3120,56,20,12,12,12,11,162,107,2989,70.1,0,29.9,100,0,4841,3056,7.1,0.292736381,-6551.747748,-6551.747748,-6.869334405,0.022338516,0.043225188,1.39104535,0.057217092,0.031073888,0.057217092,0.031073888,0.006590947,0.755459364
P.030,P.030,JELI,59798,97.72,0.18,0.12,0.36,0.26,0.79,0.58,96.83,0,0.48,2.69,6.63,23.65,24.35,17.63,13.33,8.84,4.01,1.18,0.38,50.5,49.5,RURAL,PN,PPBM,NA,59798,12464,NA,NA,NA,635,42953,UMNO,NORWAHIDA PATUAN,FEMALE,NA,14608,PAN,MD RADZI,MALE,NA,1140,PPBM,POK ZAHARI,MALE,62,27072,PUTRA,PROFESSOR DR IR HJ MAT,MALE,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,1500,78952,76917,2035,39726,39226,16969,16438,4.7,1518,777,741,457,259,198,57.3,3.1,2786,3750,2307,0.342,18.9,3,98,1947,33,19,4,5,5,3,77,86,1864,72.4,0.5,27.2,100,0,3750,2307,18.9,0.19707346,-35578.74775,-35578.74775,-37.30337696,0.026820452,0.122448594,2.136701513,0.154340543,0.0573073,0.154340543,0.0573073,0.06350288,0.793366356
P.031,P.031,KUALA KRAI,92335,94.12,4.11,1.12,0.06,0.05,0.01,0.54,99.7,0,0.3,0,7.07,23.98,25.1,17.16,12.42,8.85,3.97,1.21,0.24,50.13,49.87,RURAL,PN,PAS,NA,92335,25188,NA,NA,NA,796,64681,UMNO,ZUKI,MALE,NA,17552,PAN,SYAM GHAZ,MALE,NA,4148,PAS,USTAZ LATIFF,MALE,51,42740,PEJUANG,NORASHIKIN,FEMALE,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,2288,105007,101255,3752,52863,52144,28982,23862,4.4,2134,1094,1040,643,365,278,61.4,2.8,2896,3979,2505,0.382,22.4,15,224,3111,121,54,5,10,52,9,117,110,3029,83.3,0,16.7,100,0,3979,2505,22.4,0.304304123,-3041.747748,-3041.747748,-3.189192145,0.030898709,0.186696226,2.458088988,0.236062217,0.075951777,0.236062217,0.075951777,0.170071344,0.790877205
P.032,P.032,GUA MUSANG,70254,78.55,5.81,0.47,0.1,0.08,14.5,0.5,99.63,0.01,0.37,0,8.25,27.04,26.94,15.24,9.89,8.31,3.56,0.65,0.13,50.87,49.13,RURAL,PN,PAS,NA,70254,163,NA,NA,NA,743,48377,UMNO,TENGKU RAZALEIGH HAMZAH,MALE,85,21663,PKR,ABE YO,MALE,48,4517,PPBM,MOHD AZIZI ABU NAIM,MALE,50,21826,PEJUANG,DATO' DR. ADABI,MALE,NA,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,8174,112495,104835,7660,60254,52241,28367,22447,5,2188,1055,1133,656,352,304,57,4.2,2946,3918,2900,0.36,18.7,22,240,2624,129,65,6,4,54,15,121,144,2528,86.5,0,13.5,100,0,5745,3255,9.2,0.231532808,-25122.74775,-25122.74775,-26.34053723,0.022996826,0.66673953,5.384484743,0.847049762,0.12382606,0.847049762,0.12382606,1.61435871,0.787131478
P.033,P.033,BESUT,111650,97.97,1.3,0.09,0.09,0.07,0.02,0.45,98.42,0.01,0.34,1.23,7.44,25.1,25.7,16.9,12.15,8.01,3.61,0.92,0.17,49.85,50.15,SEMI URBAN,PN,PAS,NA,111650,18666,NA,NA,NA,877,85364,UMNO,DATUK HAJI NAWI MOHAMAD,MALE,59,30903,PAN,USTAZ AZIZ,MALE,NA,4339,PAS,DATUK ABE ZUL,MALE,NA,49569,PEJUANG,DATO' IR. WAN NAZARI,MALE,NA,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terengganu,11,1027,127825,125125,2700,65067,62758,34750,30205,4.2,3002,1571,1431,745,431,314,60,4.1,4609,6033,3840,0.339,9.5,19,385,4306,40,28,2,7,3,16,369,390,3949,83.7,9.6,6.7,100,0,4487,2984,10.6,0.367959661,16273.25225,16273.25225,17.06207502,0.01880732,0.083920707,2.112375458,0.146464524,0.039728121,0.146464524,0.039728121,0.020916302,0.572976339
P.034,P.034,SETIU,107294,99.23,0.28,0.04,0.09,0.06,0.01,0.3,99.7,0,0.27,0.02,7.04,24.61,26.14,17.64,12.05,7.77,3.55,1,0.18,49.6,50.4,RURAL,PN,PAS,NA,107294,19032,NA,NA,NA,1044,84832,UMNO,ABDUL RAHMAN BIN MAT YASIN,MALE,NA,31736,PKR,MOHAMAD BIN NGAH,MALE,69,2125,PAS,USTAZ ZUKIRNAIN ABD KADIR,MALE,NA,50768,PEJUANG,WAN ADNAN,MALE,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terengganu,11,1672,122390,120149,2241,62184,60206,32385,28357,4.3,2849,1495,1354,708,411,297,64.6,4.2,4313,5591,3621,0.339,9.3,13,202,2664,70,55,9,5,1,3,221,292,2331,95.6,2.2,2.2,100,0,4487,2984,10.6,0.353603797,11917.25225,11917.25225,12.49492411,0.013698832,0.136481073,3.156417541,0.260004754,0.043239233,0.260004754,0.043239233,0.040294717,0.524917606
P.035,P.035,KUALA NERUS,105952,98.38,1.05,0.09,0.1,0.06,0,0.32,98.48,0.01,0.72,0.79,7.33,25.17,26.44,16.74,11.96,7.98,3.32,0.93,0.12,50.03,49.97,URBAN,PN,PAS,NA,105952,29765,NA,NA,NA,736,87628,BN - DIRECT,UST. DATO' DR. KHAIRUDDIN TAKIRI,MALE,49,26932,PAN,DATUK SERI SUHAIMI HASHIM,MALE,NA,3708,PAS,DATO' DR. HAJI ALIAS RAZAK,MALE,NA,56697,PUTRA,AZAHA,MALE,NA,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terengganu,11,331,144220,142242,1978,71829,72391,38023,35113,4.1,3484,1869,1615,866,513,353,55.2,5,6725,7716,4715,0.298,3.8,26,355,3207,43,20,11,6,6,6,268,388,2955,96.2,3.6,0.2,100,0,7716,4715,3.8,0.34918103,10575.25225,10575.25225,11.08787257,0.026927406,0.027049637,1.002267073,0.035797203,0.026988453,0.035797203,0.026988453,0.003111266,0.755635501
P.036,P.036,KUALA TERENGGANU,123305,90.23,8.65,0.55,0.08,0.07,0,0.42,98.84,0.02,1.11,0.03,5.56,20.57,25.1,17.69,13.85,10.65,4.86,1.46,0.26,49.72,50.28,URBAN,PN,PAS,NA,123305,40907,NA,NA,NA,767,96552,UMNO,DATO' CIKGU ZUBIR,MALE,NA,22109,PAN,DATO' RAJA BAHRIN,MALE,NA,10946,PAS,DATUK HAJI AMZAD HASHIM,MALE,NA,63016,PUTRA,MOHAMAD ABU BAKAR BIN MUDA,MALE,57,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terengganu,11,57,129031,125889,3142,64632,64399,37635,36309,3.6,3002,1582,1420,744,434,310,61.1,5,5681,6689,4599,0.283,3.3,107,1420,7739,140,74,18,13,35,95,666,1071,7461,98,2,0,100,0,6689,4599,3.3,0.406370497,27928.25225,27928.25225,29.28203458,0.041107015,0.004589609,0.334141074,0.005500727,0.013735542,0.005500727,0.013735542,1.37E-04,0.834364033
P.037,P.037,MARANG,131756,97.53,1.87,0.08,0.06,0.06,0,0.39,99.43,0.01,0.43,0.13,7.26,24.5,26.03,16.62,12.5,8.37,3.5,1.07,0.14,49.74,50.26,SEMI URBAN,PN,PAS,NA,131756,41729,NA,NA,NA,948,109068,UMNO,JASMIRA OTHMAN,MALE,48,31386,PAN,USTAZ AZHAR,MALE,NA,4140,PAS,TUAN GURU HAJI ABDUL HADI AWANG,MALE,NA,73115,PUTRA,DR.ZARAWI BIN SULONG,MALE,NA,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terengganu,11,714,162312,160301,2011,82619,79693,45346,38299,4.2,3866,2009,1857,958,552,406,55.8,3.2,5227,6299,4225,0.318,7.5,17,349,3828,59,32,10,10,7,6,342,469,3340,97,2.4,0.5,100,0,6299,4225,7.5,0.434222061,36379.25225,36379.25225,38.14268479,0.023888027,0.058245372,1.561494894,0.081403861,0.037301033,0.081403861,0.037301033,0.012797433,0.715511167
P.038,P.038,HULU TERENGGANU,87917,98.82,0.43,0.04,0.06,0.05,0.31,0.29,99.73,0,0.26,0,6.22,22.45,27.05,17.57,12.1,8.96,4.11,1.31,0.24,49.59,50.41,RURAL,PN,PPBM,NA,87917,15734,NA,NA,NA,793,72008,UMNO,CIKGU ROZI,MALE,NA,27176,PKR,CIKGU ALIAS ISMAIL,MALE,54,1740,PPBM,DATO ROSOL WAHID,MALE,NA,42910,PUTRA,KHADRI,MALE,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terengganu,11,3973,91855,87826,4029,48287,43568,26783,21999,4.1,2260,1152,1108,559,317,242,55.9,4.2,4515,5577,3853,0.337,7.8,9,244,3130,77,50,17,7,3,9,229,345,2756,99.2,0.3,0.5,100,0,5577,3853,7.8,0.289743928,-7459.747748,-7459.747748,-7.821348414,0.022935784,0.324037321,3.758726445,0.449547014,0.086209339,0.449547014,0.086209339,0.380297427,0.720808526
P.039,P.039,DUNGUN,115559,95.71,3.16,0.19,0.13,0.09,0.01,0.72,99.47,0.01,0.48,0.03,7.53,24.49,25.62,17.24,12.59,8.29,3.28,0.79,0.16,50.05,49.95,SEMI URBAN,PN,PAS,NA,115559,34105,NA,NA,NA,736,91269,UMNO,USTAZ SHAM,MALE,NA,25615,PKR,DATO' DR MOHD JOHARI,MALE,51,5307,PAS,USTAZ HAJI WAN HASSAN,MALE,NA,59720,PEJUANG,NORAISAH BINTI HASAN,FEMALE,32,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terengganu,11,2687,156225,153275,2950,80238,75987,41794,39159,4.1,3759,1934,1825,930,530,400,55.7,3.9,6037,7553,4688,0.342,5.2,31,503,3710,76,49,20,4,3,18,311,396,3524,98.1,1.4,0.5,100,0,3750,2307,18.9,0.380842369,20182.25225,20182.25225,21.16055824,0.030167429,0.218939747,2.693972471,0.316061721,0.081270224,0.316061721,0.081270224,0.228353281,0.692712
P.040,P.040,KEMAMAN,139423,93.17,5.06,0.53,0.11,0.16,0.23,0.74,99.71,0.01,0.27,0.01,7.81,24.02,25.15,17.42,12.6,8.65,3.39,0.79,0.17,50.57,49.43,SEMI URBAN,PN,PAS,NA,139423,27179,NA,NA,NA,1288,113095,UMNO,DATO' SERI HJ AHMAD BIN SAID,MALE,65,38535,PKR,HASUNI BIN SUDIN,MALE,59,8340,PAS,USTAZ CHE ALIAS HAMID,MALE,NA,65714,PEJUANG,ROSLI,MALE,NA,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terengganu,11,2540,215582,208231,7351,113009,102573,57733,52932,4,4932,2496,2436,1218,686,532,65.6,3.7,6592,7854,4652,0.346,4.6,93,1063,5140,101,75,15,5,6,78,428,636,5220,99.8,0.2,0,100,0,5201,3569,7.4,0.459489833,44046.25225,44046.25225,46.18133171,0.025885231,0.207012346,2.827952423,0.273961347,0.073202202,0.273961347,0.073202202,0.175171831,0.755626106
P.041,P.041,KEPALA BATAS,83081,79.9,15.5,4.17,0.09,0.07,0,0.26,99.17,0,0.83,0,7.5,23.32,20.5,17.43,14.92,9.63,5,1.49,0.2,49.38,50.62,SEMI URBAN,PN,PAS,NA,83081,2867,NA,NA,NA,714,69302,UMNO,DATO' SRI REEZAL MERICAN BIN NAINA MERICAN,MALE,50,25737,NA,NA,NA,NA,NA,PAS,DR USTAZAH MASTURA,FEMALE,NA,28604,BERJASA,USTAZ HAMIDI ABU HASSAN,MALE,NA,747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pulau Pinang,7,138,117043,112491,4552,60357,56686,33443,29430,3.9,1332,690,642,727,408,319,63.1,3.8,5644,6739,3769,0.34,5,60,882,3678,88,31,50,6,1,2,354,363,3846,99.9,0.1,0,100,0,4313,2535,17.9,0.27380615,-12295.74775,-12295.74775,-12.89176664,0.026579184,0.011280465,0.651467376,0.014601482,0.017315471,0.014601482,0.017315471,5.34E-04,0.772556137
P.042,P.042,TASEK GELUGOR,80868,77.93,15.08,6.35,0.16,0.15,0,0.31,96.77,0.01,0.15,3.07,6.54,22.31,22.6,17.64,14.27,9.9,5.07,1.48,0.21,49.41,50.59,SEMI URBAN,PN,PPBM,NA,80868,12252,NA,NA,NA,542,67112,UMNO,MUHAMAD YUSOFF BIN MOHD NOOR (YB CHOP),MALE,NA,18864,PAN,RAZAK RIDZUAN,MALE,NA,16547,PPBM,DATUK WAN SAIFUL WAN JAN,MALE,NA,31116,GB,DR. ABDUL HALIM,MALE,51,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WARISAN,AKMAL AZHAR,MALE,NA,179,Pulau Pinang,7,109,106899,103644,3255,54531,52368,30365,26757,3.8,1234,645,589,672,382,290,63.2,3.7,5566,6429,3557,0.34,4.1,20,423,2328,43,22,18,3,0,4,260,214,2256,99.6,0.4,0,100,0,4313,2535,17.9,0.26651287,-14508.74775,-14508.74775,-15.21203867,0.020442207,0.008947298,0.661579538,0.011472502,0.013524146,0.011472502,0.013524146,2.58E-04,0.779890735
P.043,P.043,BAGAN,89447,14.51,69.32,15.63,0.13,0.05,0,0.36,99.8,0,0.2,0,4.81,16.31,18.3,18.22,17.48,14.43,7.7,2.24,0.51,49.32,50.68,URBAN,PH,DAP,NA,89447,49648,NA,NA,NA,738,68654,MCA,TAN CHUAN HONG,MALE,55,5385,DAP,LIM GUAN ENG,MALE,NA,55797,PPBM,ALAN OH,MALE,NA,6149,IMAN,HAFIZ,MALE,35,1323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pulau Pinang,7,20,112712,104157,8555,56393,56319,36266,30175,3.6,1260,658,602,687,390,297,62.9,3.6,5647,7579,4119,0.38,3.4,103,1395,5534,63,39,5,17,2,15,626,527,5857,100,0,0,100,0,5912,4183,7.3,0.294786277,-5929.747748,-5929.747748,-6.21718384,0.02565834,0.001640554,0.252860499,0.002166865,0.006487981,0.002166865,0.006487981,1.09E-05,0.757109342
P.044,P.044,PERMATANG PAUH,107186,73.12,19.46,6.6,0.17,0.09,0.01,0.55,99.28,0.01,0.71,0,6.29,20.86,21.19,17.59,15.74,11.57,5.23,1.32,0.21,49.16,50.84,URBAN,PN,PAS,NA,107186,5272,NA,NA,NA,648,87448,UMNO,DATUK ZAIDI,MALE,53,16971,PKR,NURUL IZZAH ANWAR,FEMALE,41,32366,PAS,UST FAWWAZ MD JAN,MALE,39,37638,PUTRA,CIKGU NASIR,MALE,NA,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pulau Pinang,7,98,159989,150266,9723,82787,77202,46040,41201,3.9,1798,922,876,979,546,433,63,4.7,5183,6435,3615,0.37,6.1,181,2299,7747,153,94,37,15,7,22,788,986,8439,100,0,0,100,0,6673,4360,4.3,0.353247866,11809.25225,11809.25225,12.38168897,0.026756493,0.007924282,0.544208548,0.009706044,0.014561112,0.009706044,0.014561112,2.65E-04,0.816427542
P.045,P.045,BUKIT MERTAJAM,120819,21.16,67.38,10.87,0.12,0.05,0,0.41,99.96,0.01,0.03,0,5.93,20.07,19.99,17.61,15.32,12.28,6.52,1.96,0.31,48.93,51.07,URBAN,PH,DAP,NA,120819,57685,NA,NA,NA,767,92745,MCA,AH PANG,MALE,39,6986,DAP,STEVEN SIM CHEE KEONG,MALE,NA,71722,PAS,STEVEN KOH,MALE,41,14037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pulau Pinang,7,78,162947,154454,8493,85769,77178,53775,41853,3.8,1846,953,893,1006,565,441,69.1,2.4,6171,7901,4522,0.37,1.3,80,1316,6266,93,50,21,16,6,11,775,460,6394,99.8,0.2,0,100,0,6673,4360,4.3,0.398177504,25442.25225,25442.25225,26.67552926,0.046928953,0.006401638,0.36933895,0.007273683,0.01733269,0.007273683,0.01733269,3.04E-04,0.880109471
