UNIQUE CODE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022),WINNING COALITION,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,state,code_state,area_km2,population_total,nationality_citizen,nationality_non_citizen,sex_male,sex_female,housing_total,household_total,household_size_avg,live_births,live_births_male,live_births_female,deaths,deaths_male,deaths_female,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,sme_small,sme_micro,sme_medium,businesses_agriculture,businesses_crops,businesses_livestock,businesses_fisheries,businesses_forestry,businesses_mining,businesses_manufacturing,businesses_construction,businesses_services,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none,income_mean,expenditure_mean,poverty_rate,Loosemore-Hanby Index,Gallagher Index,Gallagher Index (n),Gallagher Index (%),Polsby-Popper Index,Parliament Area,Parliament Perimeter,Convex-Hull,Compactness,Convex Hull,Compactness Index,Reock Index,Convex Hull Index
P.011,P.011,PENDANG,94547,88.47,4.75,0.5,0.04,0.03,0,6.21,99.81,0,0.18,0,6.11,20.81,21.93,17.7,14.84,10.69,5.55,2.07,0.3,48.59,51.41,RURAL,PN,PAS,NA,94547,31289,NA,NA,NA,650,75594,UMNO,SURAYA BINTI YAACOB,FEMALE,53,17719,PKR,DATO ZUL,MALE,52,8058,PAS,DATUK HAJI AWANG SOLAHUDIN,MALE,NA,49008,GB,RASHID YOB,MALE,43,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kedah,2,629,99363,97451,1912,52673,46690,29702,24165,4.1,1600,793,807,645,349,296,64.2,4.9,3765,4680,2798,0.31,8.1,10,179,2031,43,32,9,2,0,3,159,89,1946,100,0,0,100,0,4747,3154,5.7,0.311594107,-829.7477477,-829.7477477,-0.86996859,0.042080043,0.051484643,1.106116241,0.059598432,0.046545419,0.059598432,0.046545419,0.017613729,0.863859029
P.012,P.012,JERAI,105001,80.43,13.03,6.01,0.06,0.05,0.01,0.42,99.73,0.01,0.21,0.05,6.38,21.39,20.93,17.6,15.08,10.83,5.49,1.93,0.38,49.22,50.78,SEMI URBAN,PN,PAS,NA,105001,33192,NA,NA,NA,837,82293,UMNO,DATO SERI DR. JAMIL KHIR BAHAROM,MALE,61,16269,DAP,ZULHAZMI BIN SHARIFF,MALE,NA,15590,PAS,USTAZ SABRI AZIT,MALE,NA,49461,GB,DATUK NIZAM MAHSHAR,MALE,NA,973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kedah,2,458,126200,124620,1580,63997,62203,34551,30131,4.2,1965,1015,950,793,446,347,60.3,2.9,3313,4404,2635,0.38,14.9,26,385,2689,65,38,17,6,4,2,236,176,2642,100,0,0,100,0,5912,4183,7.3,0.346046864,9624.252252,9624.252252,10.0907742,0.024042727,0.037431282,1.247744,0.052138338,0.029999168,0.052138338,0.029999168,0.005319525,0.717922429
P.013,P.013,SIK,63126,92.5,1.46,0.14,0.08,0.04,0.01,5.76,99.74,0,0.26,0,6.25,21.2,23.25,18.33,14.03,10.02,4.91,1.71,0.3,49.35,50.65,RURAL,PN,PAS,NA,63126,21787,NA,NA,NA,416,51161,UMNO,MAIZA,FEMALE,NA,12819,PAN,DATO' LATIFAH,FEMALE,NA,3736,PAS,AHMAD TARMIZI SULAIMAN,MALE,NA,34606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kedah,2,1645,67640,65525,2115,34538,33102,19044,17335,3.8,1087,563,524,439,248,191,61.1,2.8,4096,4960,2921,0.32,7.6,3,86,860,20,11,5,4,0,1,69,76,793,91.9,0.5,7.6,100,0,5540,4146,4.9,0.208041393,-32250.74775,-32250.74775,-33.81405689,0.018653412,0.13428448,2.68308093,0.192015514,0.050048613,0.192015514,0.050048613,0.053116524,0.699341825
P.014,P.014,MERBOK,132444,69.06,15.3,14.41,0.2,0.31,0.01,0.7,96.17,0.01,0.25,3.57,7.66,25.06,22.81,16.54,12.99,9.63,4.01,1.08,0.22,49.68,50.32,SEMI URBAN,PN,PPBM,NA,132444,21019,NA,NA,NA,1027,102544,UMNO,DATO' SHAIFUL HAZIZY,MALE,NA,16691,PKR,NURIN AINA,FEMALE,46,31554,PPBM,MOHD NAZRI,MALE,NA,52573,IMAN,DATUK MOSIN RAZAK,MALE,NA,1201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WARISAN,KHAIRUL ANUAR,MALE,NA,525,Kedah,2,451,216357,204839,11518,110726,105631,66891,52104,3.9,3498,1859,1639,1417,817,600,60.5,4.2,4350,5967,3394,0.4,11.1,98,1458,6998,259,171,35,36,17,19,845,818,6765,99.7,0.3,0,100,0,5967,3394,11.1,0.43648947,37067.25225,37067.25225,38.86403461,0.018904749,0.036823615,1.395653986,0.05179151,0.026384488,0.05179151,0.026384488,0.004048028,0.710997142
P.015,P.015,SUNGAI PETANI,168847,60.99,25.75,12.45,0.09,0.07,0.01,0.66,99.9,0.01,0.08,0,7.43,24.36,20.75,16.02,14.41,10.54,4.72,1.45,0.32,48.96,51.04,URBAN,PH,PKR,NA,168847,1115,NA,NA,NA,1187,130004,UMNO,DATO' SHAHANIM BINTI MOHAMAD YUSOFF,FEMALE,49,27391,PKR,DR. TAUFIQ BIN DATO' JOHARI,MALE,26,50580,PPBM,DR. ROBERT LING,MALE,NA,49465,PEJUANG,HJ. MARZUKI YAHYA,MALE,52,2342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kedah,2,261,275439,252746,22693,142830,132609,83034,66451,4,4277,2243,2034,1733,987,746,60.3,3.6,4373,5745,3255,0.36,9.2,62,1113,4878,94,43,13,21,17,20,495,275,5264,100,0,0,100,0,5745,3255,9.2,0.556461128,73470.25225,73470.25225,77.03161828,0.021206432,0.021318115,1.002629767,0.028086057,0.0212622,0.028086057,0.0212622,0.001521896,0.759028403
P.016,P.016,BALING,132099,89.24,4.27,4.63,0.08,0.05,0.14,1.58,99.77,0.01,0.22,0,6.27,22.07,22.59,17.44,14.55,10.15,4.81,1.77,0.35,49.04,50.96,RURAL,PN,PAS,NA,132099,29137,NA,NA,NA,1141,109064,UMNO,DATUK AZEEZ RAHIM,MALE,56,35356,PAN,CIKGU JOHARI ABDULLAH,MALE,69,8636,PAS,USTAZ HASSAN,MALE,NA,64493,PUTRA,LT KOL (B) BASIR,MALE,NA,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kedah,2,1540,142530,139748,2782,72989,69541,41987,37356,3.8,2286,1176,1110,924,517,407,66.6,3.6,3583,4313,2535,0.34,17.9,18,292,2345,48,37,8,0,3,3,140,92,2397,96.9,0,3.1,100,0,4313,2535,17.9,0.43535247,36722.25225,36722.25225,38.50231122,0.015313444,0.125858095,2.866844524,0.192842744,0.043901263,0.192842744,0.043901263,0.03830495,0.652646256
P.017,P.017,PADANG SERAI,133867,62.18,17.75,19.36,0.08,0.08,0,0.55,99.93,0.01,0.06,0,9,26.62,20.13,16.16,13.88,9.01,3.76,1.19,0.25,48.99,51.01,SEMI URBAN,NA,NA,NA,133867,NA,NA,NA,NA,NA,NA,MIC,DATO SIVARAJ CHANDRAN,MALE,46,NA,PKR,DR. SOFEE RAZAK,MALE,47,NA,PPBM,DATO' CIKGU AZMAN,MALE,NA,NA,PUTRA,HAMZAH ABD RAHMAN,MALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WARISAN,MOHD BAKHRI BIN HAJI HASHIM,MALE,NA,NA,Kedah,2,343,261937,245829,16108,134405,127532,72519,62327,4.1,4082,2058,2024,1647,905,742,64.9,3.9,4419,5293,3038,0.32,9.5,56,724,3379,63,39,17,1,6,10,406,216,3548,99.9,0.1,0,100,0,5540,4146,4.9,0.441179185,38490.25225,38490.25225,40.35601251,0.034247559,0.027997624,0.904161006,0.032693607,0.030965308,0.032693607,0.030965308,0.004239276,0.856363865
P.018,P.018,KULIM-BANDAR BAHARU,90141,69.73,17.19,12.53,0.12,0.08,0,0.35,98.34,0.01,1.65,0,6.19,21.96,22.02,17.07,14.65,10.82,5.14,1.79,0.35,49.45,50.55,SEMI URBAN,PN,PPBM,NA,90141,13061,NA,NA,NA,927,70340,UMNO,DATUK MUHAR BIN HUSSAIN,MALE,NA,13872,PKR,DATUK SERI SAIFUDDIN NASUTION ISMAIL,MALE,58,21408,PPBM,CIKGU ROSLAN HASHIM,MALE,NA,34469,GB,RIZAL,MALE,NA,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kedah,2,690,120210,115626,4584,61412,58798,33552,29588,4,1886,967,919,763,426,337,65.7,3.5,4558,5671,3209,0.35,9.8,27,386,2306,49,37,9,1,2,6,165,107,2430,100,0,0,100,0,5899,3694,4.2,0.29707346,-5235.747748,-5235.747748,-5.489543176,0.02004976,0.056341696,1.676333308,0.078668635,0.03361008,0.078668635,0.03361008,0.010050525,0.716190085
P.019,P.019,TUMPAT,149371,92.28,3.64,0.14,0.04,0.03,0.01,3.86,99.72,0.01,0.27,0,6.97,23.31,23.66,16.73,13.31,9.54,4.56,1.47,0.47,50.03,49.97,SEMI URBAN,PN,PAS,NA,149371,34793,NA,NA,NA,1233,104659,BN - DIRECT,DATO' CHE LAH (DCL),MALE,62,30633,PAN,HAJI WAN JO,MALE,NA,7762,PAS,DATO' KAK TAZ,FEMALE,50,65426,PUTRA,ASRI ALI,MALE,NA,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WARISAN,KHAIRUL AZUAN,MALE,NA,245,Kelantan,3,180,179944,178503,1441,89193,90751,42113,34818,5.2,3627,1878,1749,1091,626,465,54.8,3.3,3500,4838,3377,0.374,12.5,11,308,5174,70,39,14,14,3,9,318,191,4918,66.9,0.2,33,100,0,4838,3377,12.5,0.492274989,53994.25225,53994.25225,56.61154687,0.024291385,0.01477241,0.779829287,0.018048713,0.018943133,0.018048713,0.018943133,8.37E-04,0.818474417
P.020,P.020,PENGKALAN CHEPA,106982,96.96,1.85,0.12,0.1,0.07,0.01,0.9,97.52,0.02,1.1,1.36,7.76,25.88,25.62,16.45,11.77,7.9,3.51,0.9,0.22,49.63,50.37,URBAN,PN,PAS,NA,106982,38270,NA,NA,NA,630,77761,UMNO,DR. HAFIZ,MALE,38,15663,PAN,KAK JAH,FEMALE,NA,7356,PAS,DATUK MARZUK,MALE,47,53933,PEJUANG,WAN AHMAD NASRI,MALE,NA,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelantan,3,85,159674,156186,3488,80105,79569,33732,32187,4.5,3258,1726,1532,985,575,410,60.8,5,4182,5353,3635,0.347,8.6,45,610,5029,78,38,17,6,17,12,561,326,4758,76.6,0,23.4,100,0,5353,3635,8.6,0.352575553,11605.25225,11605.25225,12.16780036,0.025659488,0.006913722,0.519077203,0.009414198,0.013319255,0.009414198,0.013319255,1.94E-04,0.734393059
